device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
14.85944,39,37.64666666666667
14.87611,39,37.65263157894737
14.89278,39,37.650000000000006
14.90944,39,37.642857142857146
14.92611,39,37.653333333333336
14.94278,39,37.650000000000006
14.95944,39,37.7
14.97611,39,37.7
14.99278,39,37.7
15.00944,39,37.666666666666664
15.02611,39,37.64666666666667
15.04278,39,37.65263157894737
15.05944,39,37.65
15.07611,39,37.64
15.09278,38.9,37.653333333333336
15.10944,39,37.65
15.12611,39,37.7
15.14278,39,37.7
15.15944,39,37.7
15.17611,39,37.7
15.19278,39,37.7
15.20944,39,37.7
15.22611,39,37.7
15.24278,39,37.7
15.25944,39,37.7
15.27611,39,37.7
15.29278,39.1,37.7
15.30944,39,37.7
15.32611,39.1,37.7
15.34278,39.1,37.7
15.35944,39,37.7
15.37611,39,37.7
15.39278,39,37.7
15.40944,39,37.7
15.42611,39,37.7
15.44278,39,37.7
15.45944,39,37.7
15.47611,39,37.7
15.49278,39,37.7
15.50944,39,37.7
15.52611,39,37.7
15.54278,39,37.7
15.55944,39,37.7
15.57611,39,37.7
15.59278,39,37.7
15.60944,39,37.7
15.62611,39,37.7
15.64278,39,37.7
15.65944,39,37.7
15.67611,39,37.7
15.69278,39,37.7
15.70944,39,37.7
15.72611,39,37.7
15.74278,39,37.7
15.75944,39,37.650000000000006
15.77611,39,37.650000000000006
15.79278,39,37.65
15.80944,39,37.650000000000006
15.82611,39,37.67333333333333
15.84278,39,37.672222222222224
15.85944,39,37.68333333333334
15.87611,39,37.65
15.89278,39,37.7
15.90944,39,37.7
15.92611,39,37.7
15.94278,39,37.7
15.95944,39,37.7
15.97611,39,37.7
15.99278,39,37.7
16.00944,39,37.7
16.02611,39,37.7
16.04278,39,37.7
16.05944,39,37.7
16.07611,39,37.7
16.09278,39,37.7
16.10944,39,37.7
16.12611,39,37.7
16.14278,39,37.7
16.15944,39,37.7
16.17611,39,37.7
16.19278,39,37.7
16.20944,39,37.7
16.22611,39,37.7
16.24278,39,37.7
16.25944,39,37.7
16.27611,39,37.7
16.29278,39,37.7
16.30944,39,37.7
16.32611,39,37.7
16.34278,39,37.7
16.35944,39,37.7
16.37611,39,37.7
16.39278,39,37.7
16.40944,39,37.7
16.42611,39,37.7
16.44278,39,37.7
16.45944,39,37.7
16.47611,39,37.7
16.49278,39,37.7
16.50944,39,37.7
16.52611,39,37.7
16.54278,39,37.7
16.55944,39,37.7
16.57611,39,37.7
16.59278,39,37.7
16.60944,39,37.7
16.62611,39,37.7
16.64278,39,37.7
16.65944,39,37.7
16.67611,39,37.7
16.69278,39,37.7
16.70944,39,37.7
16.72611,39,37.7
16.74278,39,37.7
16.75944,39,37.7
16.77611,39,37.7
16.79278,39,37.7
16.80944,39,37.7
16.82611,39,37.7
16.84278,39,37.7
16.85944,39,37.7
16.87611,39,37.7
16.89278,39,37.7
16.90944,39,37.7
16.92611,39,37.7
16.94278,39,37.7
16.95944,39,37.7
16.97611,39,37.7
16.99278,39,37.7
17.00944,39,37.7
17.02611,39,37.7
17.04278,39,37.7
17.05944,39,37.7
17.07611,39,37.7
17.09278,39,37.7
17.10944,39,37.7
17.12611,39,37.7
17.14278,39,37.650000000000006
17.15944,39,37.650000000000006
17.17611,39,37.7
17.19278,39,37.7
17.20944,39,37.7
17.22611,39,37.7
17.24278,39,37.7
17.25944,39,37.7
17.27611,39,37.7
17.29278,39,37.7
17.30944,39,37.64615384615385
17.32611,39,37.65
17.34278,39,37.67368421052632
17.35944,39,37.65
17.37611,39,37.7
17.39278,39,37.7
17.40944,39,37.7
17.42611,39,37.7
17.44278,39,37.68333333333334
17.45944,39,37.675000000000004
17.47611,39,37.660000000000004
17.49278,39,37.7
17.50944,38.9,37.648
17.52611,38.9,37.65185185185185
17.54278,38.9,37.642857142857146
17.55944,38.9,37.6
17.57611,38.9,37.6
17.59278,38.9,37.6
17.60944,38.9,37.6
17.62611,38.9,37.6
17.64278,38.9,37.6
17.65944,38.9,37.650000000000006
17.67611,38.9,37.650000000000006
17.69278,38.9,37.63333333333333
17.70944,38.9,37.6
17.72611,38.9,37.6
17.74278,38.9,37.6
17.75944,38.9,37.6
17.77611,38.9,37.6
17.79278,38.9,37.6
17.80944,38.9,37.6
17.82611,38.9,37.6
17.84278,39,37.63333333333333
17.85944,39,37.6
17.87611,38.9,37.6
17.89278,39,37.6
17.90944,38.9,37.6
17.92611,39,37.6
